district,total_crimes,total_arrests,arrest_rate
8.0,297522,62927,0.212
11.0,295068,117202,0.397
6.0,270767,68311,0.252
4.0,258341,56497,0.219
7.0,253707,68241,0.269
25.0,252259,63456,0.252
3.0,224609,51474,0.229
12.0,217365,39454,0.182
9.0,210970,52516,0.249
18.0,205074,37842,0.185
19.0,200875,32795,0.163
5.0,199612,48865,0.245
10.0,198170,58569,0.296
1.0,192621,41877,0.217
2.0,192074,38611,0.201
15.0,189557,66441,0.351
14.0,163726,27904,0.17
16.0,152911,26086,0.171
22.0,146925,29233,0.199
24.0,132842,25318,0.191
17.0,128526,22269,0.173
20.0,76193,13912,0.183
31.0,184,67,0.364
