location_description,total_crimes,total_arrests,arrest_rate
STREET,1062559,252955,0.238
RESIDENCE,731241,86768,0.119
APARTMENT,592077,88460,0.149
SIDEWALK,436280,202815,0.465
OTHER,142484,20533,0.144
PARKING LOT/GARAGE(NON.RESID.),109650,23509,0.214
ALLEY,96424,40232,0.417
SMALL RETAIL STORE,93378,22321,0.239
RESTAURANT,80606,13807,0.171
VEHICLE NON-COMMERCIAL,73233,23731,0.324
"SCHOOL, PUBLIC, BUILDING",69346,21135,0.305
RESIDENCE-GARAGE,68950,3738,0.054
RESIDENTIAL YARD (FRONT/BACK),67528,15063,0.223
RESIDENCE PORCH/HALLWAY,66222,18048,0.273
DEPARTMENT STORE,61686,30421,0.493
GAS STATION,51076,17915,0.351
GROCERY FOOD STORE,50372,24492,0.486
PARK PROPERTY,33730,10359,0.307
COMMERCIAL / BUSINESS OFFICE,30488,2963,0.097
BAR OR TAVERN,28597,5368,0.188
CTA TRAIN,22486,3121,0.139
CONVENIENCE STORE,21324,6730,0.316
PARKING LOT / GARAGE (NON RESIDENTIAL),20737,2045,0.099
CTA PLATFORM,20613,10700,0.519
DRUG STORE,18167,7549,0.416
BANK,16874,1933,0.115
"SCHOOL, PUBLIC, GROUNDS",16811,4396,0.261
HOTEL/MOTEL,16351,4257,0.26
CTA BUS,16336,2788,0.171
VACANT LOT/LAND,14748,5131,0.348
HOSPITAL BUILDING/GROUNDS,13234,3152,0.238
CHA APARTMENT,13083,2960,0.226
DRIVEWAY - RESIDENTIAL,12285,1012,0.082
OTHER (SPECIFY),12268,682,0.056
CHA PARKING LOT/GROUNDS,12142,6866,0.565
UNKNOWN,11711,39,0.003
POLICE FACILITY/VEH PARKING LOT,11595,8107,0.699
RESIDENCE - PORCH / HALLWAY,9631,913,0.095
TAVERN/LIQUOR STORE,9240,3848,0.416
ABANDONED BUILDING,8610,4364,0.507
RESIDENCE - YARD (FRONT / BACK),8471,1170,0.138
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,8438,972,0.115
NURSING HOME/RETIREMENT HOME,8411,596,0.071
GOVERNMENT BUILDING/PROPERTY,7820,2958,0.378
CTA BUS STOP,7777,1920,0.247
"SCHOOL, PRIVATE, BUILDING",7757,1555,0.2
RESIDENCE - GARAGE,7720,328,0.042
CTA GARAGE / OTHER PROPERTY,7233,3115,0.431
ATM (AUTOMATIC TELLER MACHINE),7070,128,0.018
ATHLETIC CLUB,6967,314,0.045
